good.names,SpeciesFungorum ID,"Basionyms, synonyms & additional comments",,,
Funneliformis coronatum,,Basionym: Glomus coronatum Giovann. (1991),C. Walker & Schuessler (2010),Glomeraceae,Glomerales
Funneliformis mosseae,,Basionym: Endogone mosseae T.H. Nicolson & Gerd. (1968) Synonyms: Glomus mosseae Gerd. & Trappe (1974),C. Walker & Schuessler 2010,Glomeraceae,Glomerales
Funneliformis fragilistratum,,Basionym: Glomus fragilistratum Skou & I. Jakobsen (1989),C. Walker & Schuessler (2010),Glomeraceae,Glomerales
Funneliformis geosporum,,"Basionym: Endogone macrocarpa var. geospora T.H. Nicolson & Gerd. (1968) Synonyms: Glomus macrocarpum var. geosporumGerd. & Trappe (1974), Glomus geosporum C. Walker (1982) (complete paper here)",C. Walker & Schuessler (2010),Glomeraceae,Glomerales
Funneliformis verruculosum,,Basionym: Glomus verruculosum B?aszk. (1997),C. Walker & Schuessler (2010),Glomeraceae,Glomerales
Funneliformis xanthium,,"Basionym: Glomus xanthium B?aszk., Blanke, Renker & Buscot (2004)",C. Walker & Schuessler (2010),Glomeraceae,Glomerales
Geosiphon,, back to top,F. v. Wettstein (1915),Geosiphonaceae,Glomerales
Geosiphon pyriformis,,Basionym: Botrydium pyriforme Kützing (1849) Synonyms: Geosiphonomyces pyriformis Cif. & Tomas (1957),F. v. Wettstein (1915) [as 'pyriforme'],Geosiphonaceae,Archaeosporales
Gigaspora,, back to top,Gerd. & Trappe (1974),Gigasporaceae,Archaeosporales
Gigaspora albida,,,N.C. Schenck & G.S. Sm. (1982),Gigasporaceae,
Gigaspora candida,,"Synonyms: Gigaspora alboaurantiaca W.N. Chou (1991) The type material of G. candida is lost, but the species description is such that it cannot be separated from G. alboaurantiaca. Therefore, G. alboaurantiaca was placed as a later heterotypic synonym of G. candida.","Bhattacharjee, Mukerji, J.P. Tewari & Skoropad (1982)",Gigasporaceae,Diversisporales
Gigaspora decipiens,,,I.R. Hall & L.K. Abbott (1984),Gigasporaceae,Diversisporales
Gigaspora gigantea,,Basionym: Endogone gigantea T.H. Nicolson & Gerd. (1968),Gerd. & Trappe (1974),Gigasporaceae,Diversisporales
Gigaspora margarita,,,W.N. Becker & I.R. Hall (1976),Gigasporaceae,Diversisporales
Gigaspora ramisporophora,,,"Spain, Sieverd. & N.C. Schenck (1989)",Gigasporaceae,Diversisporales
Gigaspora rosea,,,T.H. Nicolson & N.C. Schenck (1979),Gigasporaceae,Diversisporales
Gigaspora,,species of uncertain phylogenetic position,,,Diversisporales
Gigaspora lazzarii,,Type material and species description share none of the characteristics of any member of the Glomeromycota.,"Montecchi, Ruini & G. Gross (1996)",,Diversisporales
Glomus macrocarpum,,"Synonyms: Endogone macrocarpa Tul. & C. Tul. (1851), Glomus macrocarpum var. macrocarpum (lectotypified by Berch & Fortin 1983)",Tul. & C. Tul. (1845) [as 'macrocarpus'],Glomeraceae,Glomerales(emendation)
Glomus tetrastratosum,809375,,"B?aszk., Chwat & Góralska (2015)",Glomeraceae,
Glomus albidum,,"Morphologically, the species seems identical toDiversispora eburneum",C. Walker & L.H. Rhodes (1981),,Glomerales
Glomus ambisporum,,,G.S. Sm. & N.C. Schenck (1985),,
Glomus antarcticum,,Morphologically similar to Rhizophagus species,Cabello (1994),,
Glomus arborense,,,McGee (1986),,
Glomus atrouva,,Compare with Glomus botryoides,McGee & Pattinson (2002),,
Glomus australe,,Basionym: Endogone australis Berk. (1859) [1860]  Was synonymised with G. macrocarpum by Gerdemann & Trappe (1974). Because of lacking molecular evidence treated here as Glomus sensu lato of uncertain phylogenetic position.,S.M. Berch (1983),,
Glomus avelingiae,,,R.C. Sinclair (2000),,
Glomus bagyarajii,,,V.S. Mehrotra (1997),,
Glomus bistratum,,"According to analysis of published rDNA sequences, the phylogenetic position cannot yet be robustly defined","B?aszk., D. Redecker, Koegel, Symanczik, Oehl & Kovacs (2009)",,
Glomus boreale,,Basionym: Endogone borealis Thaxt. (1922),Trappe & Gerd. (1974),,
Glomus botryoides,,,F.M. Rothwell & Victor (1984),,
Glomus brohultii,,,"R.A. Herrera, Ferrer & Sieverd. (2003)",,
Glomus caesaris,,,Sieverd. & Oehl (2002),,
Glomus canadense,,Basionym: Endogone canadensis Thaxt. (1922),Trappe & Gerd. (1974),,
Glomus canum,,,McGee (2002),,
Glomus cerebriforme,,"According to the currently (2012) published rDNA sequence data, this species clusters basal within in Rhizophagus, but the culture used to generate the sequences may not correspond to the species and is in need of verification, so it is classified as of uncertain position, for now.  Compare with Glomus pallidum",McGee (1986),,
Glomus citricola,,"Type material difficult to interpret. Maybe mixed, maybe a Rhizophagus sp., or even an Acaulospora",D.Z. Tang & M. Zang (1984) [as 'citricolum'],,
Glomus convolutum,,,Gerd. & Trappe (1974) [as 'convolutus'],,
Glomus crenatum,,,"Furrazola, Ferrer, R.A. Herrera & B.T. Goto (2011)",,
Glomus cubense,,"Glomus cubense is not validly published. Types from different collections were listed as a holotype, so the name is invalid and now lost",Y. Rodr. & Dalpé (2012),none (invalidly published),
Glomus cuneatum,,,McGee & Cooper (2002),,
Glomus delhiense,,,"Mukerji, Bhattacharjee & J.P. Tewari (1983)",,none (invalidly published)
Glomus deserticola,,"The article in which the molecular evidence for this species was published (Chellappan et al. 2005) shows an illustration of a fungus, but it cannot be verified as G. deserticola. The ex-type culture of this species is available, and pending new molecular evidence, this species is retained as of uncertain position","Trappe, Bloss & J.A. Menge (1984)",,
Glomus dimorphicum,,Confused name due to error. The type material includes four already described species,Boyetchko & J.P. Tewari (1986),,
Glomus dolichosporum,,,M.Q. Zhang & You S. Wang (1997),,
Glomus flavisporum,,Basionym: Endogone flavispora M. Lange & E.M. Lund (1955),Trappe & Gerd. (1974) [as ‘flavisporus‘],,
Glomus formosanum,,,C.G. Wu & Z.C. Chen (1986),,
Glomus fragile,,Basionym: Paurocotylis fragilis Berk. & Broome(1875),(Berk. & Broome) Trappe & Gerd. (1974) [as 'fragilis'],,
Glomus fuegianum,,Basionym: Endogone fuegiana Speg. (1887),Trappe & Gerd. (1974) [as 'fuegianus'],,
Glomus glomerulatum,,,Sieverd. (1987),,
Glomus goaensis,,"Poor description, unknown affiliation",Khade (2009),,
Glomus halonatum,,Compare Glomus clarum,S.L. Rose & Trappe (1980) [as 'halonatus'],,
Glomus heterosporum,,,G.S. Sm. & N.C. Schenck (1985),,
Glomus hoi,,"Synonym: Simiglomus hoi G.A. Silva, Oehl & Sieverd. (2011) Sequences annotated as G. hoi are most likely from different species. This is a species of uncertain position pending further clarification.",S.M. Berch & Trappe (1985),,
Glomus hyderabadensis,,,"Swarapu, Kunwar, Prasad & Manohar (2004)",,
Glomus kerguelense,,,Dalpé & Strullu (2002),,
Glomus lacteum,,Probably not a Glomus species.,S.L. Rose & Trappe (1980) [as 'lacteus'],,
Glomus magnicaule,,,I.R. Hall (1977) [as 'magnicaulis'],,
Glomus melanosporum,,,Gerd. & Trappe (1974) [as 'melanosporus'],,
Glomus microaggregatum,,"Synonym: Rhizoglomus microaggregatum Sieverd., G.A. Silva & Oehl (2014)","Koske, Gemma & P.D. Olexia (1986)",,
Glomus microcarpum,,"Synonyms: Endogone microcarpus Tul. & C. Tul. (1851), E. neglecta (lectotypification by S.M. Berch & J.A. Fortin 1984)",Tul. & C. Tul. (1845) [as 'microcarpus'],,
Glomus monosporum,,"This species was established in pot culture, but the culture was lost long before DNA sequencing methods were available. There have been several cultured organisms that have been given this name, but none seems properly to fit the species description of brown spores that have ornamentation of spines on the laminated wall component. ",Gerd. & Trappe (1974),,
Glomus mortonii,,"Although this fungus has produced spores in soil traps in Finland, it has not yet been possible either to establish it in pure culture or to extract DNA. Consequently, its phylogenetic position is yet unclear",Bentiv. & Hetrick (1991),,
Glomus multicaule,,,Gerd. & B.K. Bakshi (1976) [as 'multicaulis'],,
Glomus multiforum,,,Tadych & B?aszk. (1997),,
Glomus multisubstensum,,"This name has at some time been synonymised with Claroideoglomus claroideum (as Glomus claroideum), but this cannot yet be verified from molecular evidence, and thus has now been moved into uncertain positions","Mukerji, Bhattacharjee & J.P. Tewari (1983)",,
Glomus nanolumen,,,Koske & Gemma (1990),,
Glomus pallidum,,,I.R. Hall (1977) [as 'pallidus'],,
Glomus pansihalos,,,S.M. Berch & Koske (1986),,
Glomus pellucidum,,,McGee & Pattinson (2002),,
Glomus perpusillum,,,B?aszk. & Kovács (2009),,
Glomus pustulatum,,,"Koske, Friese, C. Walker & Dalpé (1986)",,
Glomus radiatum,,Basionym: Endogone radiata Thaxt. (1922),Trappe & Gerd. (1974),,
