"","Genus","Species","Variety","SporeType","SporeName","SporeDim1_min2","SporeDim1_min","SporeDim1_max","SporeDim1_max2","SporeDim2_min2","SporeDim2_min","SporeDim2_max","SporeDim2_max2","Spore_units","SporeArea","Name"
"336","Paecillium","lilacinum","","asexual","conidia",NA,2.5,3,NA,NA,2,2.2,NA,"um",4.53567439362026,"Paecillium lilacinum "
"337","Papulaspora","immersa","","asexual","papulospore",NA,88,150,260,NA,88,150,260,"um",11122.0233918713,"Papulaspora immersa "
"338","Papulaspora","irregularis","","asexual","papulospore",NA,140,170,NA,NA,250,300,NA,"um",33477.5967148162,"Papulaspora irregularis "
"339","Paraconiothyrium","minitans","","asexual","conidia",NA,4,6,NA,NA,3.5,4,NA,"um",14.7262155637022,"Paraconiothyrium minitans "
"340","Paraconiothyrium","sporulosum","","asexual","conidia",NA,2.5,4.5,NA,NA,2.2,2.7,NA,"um",6.73478925113312,"Paraconiothyrium sporulosum "
"341","Paranomuraea","carnea","","asexual","conidia",NA,3,4,NA,NA,2,2.5,NA,"um",6.18501053675491,"Paranomuraea carnea "
"342","Paranomuraea","marquandii","","asexual","conidia",NA,3.5,3.5,NA,NA,3.5,3.5,NA,"um",9.62112750161874,"Paranomuraea marquandii "
"343","Pecilomyces","variotii","","asexual","conidia",NA,3.2,5,NA,NA,2,4,NA,"um",9.66039740978861,"Pecilomyces variotii "
"344","Penicillium","brevicompactum","","asexual","conidia",NA,3.5,4,NA,NA,3.5,4,NA,"um",11.0446616727766,"Penicillium brevicompactum "
"345","Penicillium","canescens","","asexual","conidia",NA,2,2.5,NA,NA,2,2.5,NA,"um",3.97607820219958,"Penicillium canescens "
"346","Penicillium","charlesii","","asexual","conidia",NA,2.5,3,NA,NA,2.5,3,NA,"um",5.9395736106932,"Penicillium charlesii "
"347","Penicillium","chrysogenum","","asexual","conidia",NA,2,4,NA,NA,2.8,3.5,NA,"um",7.42201264410589,"Penicillium chrysogenum "
"348","Penicillium","citrinum","","asexual","conidia",NA,3,3,NA,NA,3,3,NA,"um",7.06858347057703,"Penicillium citrinum "
"349","Penicillium","corylophilum","","asexual","conidia",NA,2.5,3,NA,NA,2.5,3,NA,"um",5.9395736106932,"Penicillium corylophilum "
"350","Penicillium","cyclopium","","asexual","conidia",NA,2.7,2.7,NA,NA,2.7,2.7,NA,"um",5.7255526111674,"Penicillium cyclopium "
"351","Penicillium","daleae","","asexual","conidia",NA,2.5,4,NA,NA,2.5,3,NA,"um",7.01949608536469,"Penicillium daleae "
"352","Penicillium","decumbens","","asexual","conidia",NA,2,2.5,NA,NA,2,2.5,NA,"um",3.97607820219958,"Penicillium decumbens "
"353","Penicillium","digitatum","","asexual","conidia",NA,3.5,5,NA,NA,3,3.5,NA,"um",10.8483121319273,"Penicillium digitatum "
"354","Penicillium","expansum","","asexual","conidia",NA,3,3.5,NA,NA,3,3.5,NA,"um",8.29576810088555,"Penicillium expansum "
"355","Penicillium","funiculosum","","asexual","conidia",NA,2.5,3.5,NA,NA,2,2.5,NA,"um",5.30143760293278,"Penicillium funiculosum "
"356","Penicillium","glabrum","","asexual","conidia",NA,3,3.5,NA,NA,3,3.5,NA,"um",8.29576810088555,"Penicillium glabrum "
"357","Penicillium","glandicola","","asexual","conidia",NA,3,3.5,NA,NA,3,3.5,NA,"um",8.29576810088555,"Penicillium glandicola "
"358","Penicillium","griseofulvum","","asexual","conidia",NA,2.5,3.5,NA,NA,2.2,2.5,NA,"um",5.53705705195201,"Penicillium griseofulvum "
"359","Penicillium","herquei","","asexual","conidia",NA,3.5,4,NA,NA,2.2,3,NA,"um",7.65763209312512,"Penicillium herquei "
"360","Penicillium","hirsutum","","asexual","conidia",NA,3,3.3,NA,NA,3,3.3,NA,"um",7.79311327631118,"Penicillium hirsutum "
"361","Penicillium","hispanicum","","asexual","conidia",NA,2,3,NA,NA,2,2.5,NA,"um",4.41786466911065,"Penicillium hispanicum "
"362","Penicillium","islandicum","","asexual","conidia",NA,3,3.5,NA,NA,2.5,3,NA,"um",7.01949608536469,"Penicillium islandicum "
"363","Penicillium","italicum","","asexual","conidia",NA,4,5,NA,NA,2.5,3.5,NA,"um",10.6028752058656,"Penicillium italicum "
"364","Penicillium","janczewskii","","asexual","conidia",NA,3,3.5,NA,NA,3,3.5,NA,"um",8.29576810088555,"Penicillium janczewskii "
"365","Penicillium","janthinellum","","asexual","conidia",NA,3,3.5,NA,NA,3,3.5,NA,"um",8.29576810088555,"Penicillium janthinellum "
"366","Penicillium","jensenii","","asexual","conidia",NA,2,2.5,NA,NA,2,2.5,NA,"um",3.97607820219958,"Penicillium jensenii "
"367","Penicillium","lanosum","","asexual","conidia",NA,2.5,3,NA,NA,2.5,3,NA,"um",5.9395736106932,"Penicillium lanosum "
"368","Penicillium","lividum","","asexual","conidia",NA,3,4,NA,NA,2.6,3,NA,"um",7.69690200129499,"Penicillium lividum "
"369","Penicillium","oxalicum","","asexual","conidia",NA,4.5,6.5,NA,NA,3,4,NA,"um",15.1189146454009,"Penicillium oxalicum "
"370","Penicillium","purpurogenum","","asexual","conidia",NA,3,3.5,NA,NA,2.5,3,NA,"um",7.01949608536469,"Penicillium purpurogenum "
"371","Penicillium","restrictum","","asexual","conidia",NA,2,2.5,3,NA,2,2.5,NA,"um",3.97607820219958,"Penicillium restrictum "
"372","Penicillium","rubrum","","asexual","conidia",NA,2.2,3.5,NA,NA,2,2.5,NA,"um",5.03636572278614,"Penicillium rubrum "
"373","Penicillium","rugulosum","","asexual","conidia",NA,3,3.5,NA,NA,2.5,3,NA,"um",7.01949608536469,"Penicillium rugulosum "
"374","Penicillium","sacculum","","asexual","conidia",NA,5.5,6,NA,NA,3,3.5,NA,"um",14.6771281784898,"Penicillium sacculum "
"375","Penicillium","scabrosum","","asexual","conidia",NA,3,3.5,NA,NA,3,3.5,NA,"um",8.29576810088555,"Penicillium scabrosum "
"376","Penicillium","simplicissimum","","asexual","conidia",NA,2.5,3,NA,NA,2.5,3,NA,"um",5.9395736106932,"Penicillium simplicissimum "
"377","Penicillium","solitum","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Penicillium solitum "
"378","Penicillium","spinulosum","","asexual","conidia",NA,3,5.5,NA,NA,3,5.5,NA,"um",14.1862543263664,"Penicillium spinulosum "
"379","Penicillium","steckii","","asexual","conidia",NA,2,2.5,NA,NA,2,2.5,NA,"um",3.97607820219958,"Penicillium steckii "
"380","Penicillium","stoloniferum","","asexual","conidia",NA,2.5,3.5,NA,NA,2.5,3.5,NA,"um",7.06858347057703,"Penicillium stoloniferum "
"381","Penicillium","thomii","","asexual","conidia",NA,3,3.5,NA,NA,3,3.5,NA,"um",8.29576810088555,"Penicillium thomii "
"382","Penicillium","variabile","","asexual","conidia",NA,3,3.5,NA,NA,2,2.5,NA,"um",5.74322406984384,"Penicillium variabile "
"383","Penicillium","viridicatum","","asexual","conidia",NA,3,4,NA,NA,3,4,NA,"um",9.62112750161874,"Penicillium viridicatum "
"384","Penicillium","vulpinum","","asexual","conidia",NA,4,4.5,NA,NA,3,3.5,NA,"um",10.8483121319273,"Penicillium vulpinum "
"385","Penicillium","westlingii","","asexual","conidia",NA,2,2.5,NA,NA,2,2.5,NA,"um",3.97607820219958,"Penicillium westlingii "
"386","Periconia","macrospinosa","","asexual","conidia",NA,18,35,NA,NA,18,35,NA,"um",551.545860245858,"Periconia macrospinosa "
"387","Peziza ","ostracoderma","","sexual","ascospores",NA,11,13.5,NA,NA,6,8,10,"um",67.3478925113312,"Peziza  ostracoderma "
"388","Peziza ","ostracoderma","","asexual","conidia",NA,5,13,NA,NA,5,13,NA,"um",63.6172512351933,"Peziza  ostracoderma "
"389","Phialophora","cinerescens","","asexual","conidia",NA,3,5,7,NA,2.5,3.5,NA,"um",9.42477796076938,"Phialophora cinerescens "
"390","Phialophora","cyclaminis","","asexual","conidia",NA,1.5,2.5,NA,NA,1.5,2.5,NA,"um",3.14159265358979,"Phialophora cyclaminis "
"391","Phitomyces","chartarum","","asexual","conidia",NA,18,29,NA,NA,10,17,NA,"um",249.16756733784,"Phitomyces chartarum "
"392","Phoma","chrysanthemicola","","asexual","conidia",NA,3.5,6.5,NA,NA,1.5,3,NA,"um",8.83572933822129,"Phoma chrysanthemicola "
"393","Phoma","eupyrena","","asexual","conidia",NA,3.5,6,NA,NA,1.5,3,NA,"um",8.39394287131023,"Phoma eupyrena "
"394","Phoma","exigua","","asexual","conidia",NA,4,8.5,NA,NA,2,3,NA,"um",12.2718463030851,"Phoma exigua "
"395","Phoma","glomerata","","asexual","conidia",NA,6,7.5,NA,NA,3,3.5,NA,"um",17.2296722095315,"Phoma glomerata "
"396","Phoma","herbarum","","asexual","conidia",NA,4.5,5,NA,NA,2,2.5,NA,"um",8.39394287131023,"Phoma herbarum "
"397","Phoma","leveillei","","asexual","conidia",NA,3,7,NA,NA,1,3,NA,"um",7.85398163397448,"Phoma leveillei "
"398","Phoma","pinodella","","asexual","conidia",NA,4,9,NA,NA,2,4,NA,"um",15.3152641862502,"Phoma pinodella "
"399","Phoma","pomorum","","asexual","conidia",NA,5,7,NA,NA,2,3.4,NA,"um",12.7234502470387,"Phoma pomorum "
"400","Phymatotrichopsis","omnivora","","asexual","conidia",NA,6,8,NA,NA,5,6,NA,"um",30.2378292908018,"Phymatotrichopsis omnivora "
"401","Phytium","aphanidermatum","","sexual/asexual","oospore",NA,17,19,NA,NA,17,19,NA,"um",254.469004940773,"Phytium aphanidermatum "
"402","Phytium","intermedium","","sexual/asexual","oospore",NA,13,22,NA,NA,13,22,NA,"um",240.528187540469,"Phytium intermedium "
"403","Phytium","irregulare","","sexual/asexual","oospore",NA,8,25,NA,NA,8,25,NA,"um",213.824649984955,"Phytium irregulare "
"404","Phytium","mamillatum","","sexual/asexual","oospore",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Phytium mamillatum "
"405","Phytium","oligandrum","","sexual/asexual","oospore",NA,15,30,NA,NA,15,30,NA,"um",397.607820219958,"Phytium oligandrum "
"406","Phytium","paroecandrum","","sexual/asexual","oospore",NA,10,22,NA,NA,10,22,NA,"um",201.061929829747,"Phytium paroecandrum "
